Member_number,Date,itemDescription,Item Expiration
4591,15/05/2015,pastry,15/08/2024
3169,14/06/2015,other vegetables,14/09/2024
3915,21/05/2015,misc. beverages,21/08/2024
1127,14/01/2015,frankfurter,14/04/2024
4828,08/08/2015,sparkling wine,08/11/2024
3683,10/06/2015,specialty bar,10/09/2024
1971,18/09/2015,sausage,18/12/2024
3014,11/11/2015,curd cheese,11/02/2025
3779,15/09/2015,frankfurter,15/12/2024
2489,04/05/2015,whole milk,04/08/2024
3564,27/06/2015,newspapers,27/09/2024
4092,30/09/2015,berries,30/12/2024
3221,13/01/2015,curd,13/04/2024
1279,06/09/2015,tropical fruit,06/12/2024
2581,22/08/2015,soda,22/11/2024
2295,25/02/2015,rolls/buns,25/05/2024
4760,22/02/2015,canned beer,22/05/2024
3649,16/01/2015,canned beer,16/04/2024
1075,19/11/2015,frankfurter,19/02/2025
3987,19/08/2015,other vegetables,19/11/2024
4106,25/08/2015,whole milk,25/11/2024
4338,24/06/2015,whole milk,24/09/2024
4166,06/11/2015,citrus fruit,06/02/2025
1211,10/03/2015,frankfurter,10/06/2024
3954,21/01/2015,frankfurter,21/04/2024
3928,18/07/2015,butter milk,18/10/2024
3827,30/09/2015,hamburger meat,30/12/2024
4699,08/02/2015,pasta,08/05/2024
4747,08/06/2015,other vegetables,08/09/2024
3028,09/06/2015,sausage,09/09/2024
2851,16/03/2015,rolls/buns,16/06/2024
4417,25/02/2015,grapes,25/05/2024
3822,07/03/2015,root vegetables,07/06/2024
2288,31/05/2015,coffee,31/08/2024
2184,30/06/2015,popcorn,30/09/2024
4554,27/08/2015,whole milk,27/11/2024
3361,05/03/2015,tropical fruit,05/06/2024
2999,17/04/2015,beef,17/07/2024
2614,25/06/2015,whole milk,25/09/2024
4064,05/06/2015,frankfurter,05/09/2024
3567,04/10/2015,tropical fruit,04/01/2025
2587,07/05/2015,canned beer,07/08/2024
3783,17/06/2015,finished products,17/09/2024
1923,14/02/2015,beverages,14/05/2024
4835,19/02/2015,hamburger meat,19/05/2024
1514,24/08/2015,whole milk,24/11/2024
3154,22/06/2015,finished products,22/09/2024
1313,25/12/2015,other vegetables,25/03/2025
2794,18/07/2015,ham,18/10/2024
2359,09/04/2015,other vegetables,09/07/2024
2238,09/03/2015,curd,09/06/2024
3795,17/01/2015,bottled beer,17/04/2024
3724,26/11/2015,curd,26/02/2025
1152,05/03/2015,whole milk,05/06/2024
4559,16/03/2015,whole milk,16/06/2024
3922,27/02/2015,dessert,27/05/2024
1709,22/04/2015,sausage,22/07/2024
2219,17/04/2015,other vegetables,17/07/2024
2206,17/10/2015,ham,17/01/2025
1752,06/04/2015,other vegetables,06/07/2024
3942,10/11/2015,other vegetables,10/02/2025
3296,17/08/2015,soda,17/11/2024
2257,05/02/2015,herbs,05/05/2024
4313,28/07/2015,frankfurter,28/10/2024
2001,21/08/2015,rolls/buns,21/11/2024
2449,08/07/2015,curd,08/10/2024
4914,12/04/2015,frankfurter,12/07/2024
2764,24/07/2015,other vegetables,24/10/2024
4187,09/05/2015,dog food,09/08/2024
1392,20/04/2015,specialty bar,20/07/2024
3427,28/04/2015,curd,28/07/2024
1411,20/02/2015,frankfurter,20/05/2024
3390,14/11/2015,soda,14/02/2025
4787,01/08/2015,beef,01/11/2024
3310,17/01/2015,canned beer,17/04/2024
1782,10/10/2015,pork,10/01/2025
3375,26/04/2015,frankfurter,26/07/2024
2760,07/01/2015,sausage,07/04/2024
4249,13/09/2015,canned beer,13/12/2024
2904,06/06/2015,specialty chocolate,06/09/2024
4090,26/02/2015,curd,26/05/2024
3060,05/07/2015,canned beer,05/10/2024
3768,07/10/2015,whole milk,07/01/2025
1232,21/01/2015,rolls/buns,21/04/2024
1360,23/10/2015,pork,23/01/2025
1107,01/10/2015,citrus fruit,01/01/2025
2865,04/11/2015,pot plants,04/02/2025
2958,14/06/2015,rolls/buns,14/09/2024
2448,12/07/2015,butter,12/10/2024
1222,24/09/2015,condensed milk,24/12/2024
2943,20/06/2015,sausage,20/09/2024
2270,11/08/2015,whole milk,11/11/2024
3812,21/07/2015,sausage,21/10/2024
1482,22/11/2015,beverages,22/02/2025
4720,22/02/2015,beverages,22/05/2024
1344,04/09/2015,bottled water,04/12/2024
2397,04/10/2015,newspapers,04/01/2025
4182,12/05/2015,cleaner,12/08/2024
4487,10/07/2015,sausage,10/10/2024
3467,24/12/2015,newspapers,24/03/2025
2443,15/11/2015,sausage,15/02/2025
2749,27/01/2015,misc. beverages,27/04/2024
4389,13/04/2015,white wine,13/07/2024
1674,04/12/2015,sausage,04/03/2025
4262,16/10/2015,meat,16/01/2025
2082,07/04/2015,frankfurter,07/07/2024
4494,06/01/2015,ice cream,06/04/2024
2460,28/09/2015,canned beer,28/12/2024
4509,29/11/2015,tropical fruit,01/03/2025
2267,03/07/2015,meat,03/10/2024
4891,05/09/2015,whole milk,05/12/2024
3962,20/09/2015,sausage,20/12/2024
4964,18/07/2015,frankfurter,18/10/2024
2914,30/11/2015,meat,02/03/2025
2808,05/05/2015,root vegetables,05/08/2024
1085,15/08/2015,root vegetables,15/11/2024
3808,18/08/2015,whole milk,18/11/2024
4149,07/01/2015,citrus fruit,07/04/2024
2331,05/06/2015,citrus fruit,05/09/2024
4475,03/04/2015,other vegetables,03/07/2024
2761,25/04/2015,citrus fruit,25/07/2024
2620,14/12/2015,sausage,14/03/2025
3206,13/10/2015,frankfurter,13/01/2025
1226,13/04/2015,hard cheese,13/07/2024
1395,07/03/2015,cream cheese ,07/06/2024
2465,07/06/2015,turkey,07/09/2024
3572,09/07/2015,pork,09/10/2024
4387,08/05/2015,whole milk,08/08/2024
1555,27/03/2015,rolls/buns,27/06/2024
1181,16/11/2015,sausage,16/02/2025
2814,11/05/2015,ice cream,11/08/2024
2794,16/09/2015,liquor,16/12/2024
2912,28/01/2015,pip fruit,28/04/2024
4667,12/01/2015,root vegetables,12/04/2024
2235,25/10/2015,soda,25/01/2025
2353,02/05/2015,soda,02/08/2024
3449,08/03/2015,sausage,08/06/2024
1058,10/11/2015,root vegetables,10/02/2025
1027,17/05/2015,pork,17/08/2024
3302,22/05/2015,pork,22/08/2024
2229,30/05/2015,chocolate,30/08/2024
2188,15/08/2015,fruit/vegetable juice,15/11/2024
1547,18/04/2015,pickled vegetables,18/07/2024
1649,30/06/2015,bottled water,30/09/2024
3254,10/09/2015,frankfurter,10/12/2024
2818,07/11/2015,tropical fruit,07/02/2025
2703,08/05/2015,canned beer,08/08/2024
3332,31/01/2015,root vegetables,01/05/2024
2473,01/07/2015,meat,01/10/2024
2810,30/12/2015,frankfurter,30/03/2025
1033,22/04/2015,tropical fruit,22/07/2024
4222,27/05/2015,tropical fruit,27/08/2024
3679,21/09/2015,citrus fruit,21/12/2024
2212,27/08/2015,hamburger meat,27/11/2024
1507,22/06/2015,chicken,22/09/2024
2870,21/01/2015,chicken,21/04/2024
3429,26/04/2015,frankfurter,26/07/2024
4148,09/04/2015,canned beer,09/07/2024
2970,30/12/2015,turkey,30/03/2025
2013,30/08/2015,packaged fruit/vegetables,30/11/2024
3967,30/05/2015,pasta,30/08/2024
2885,15/05/2015,citrus fruit,15/08/2024
3935,02/07/2015,sausage,02/10/2024
3283,01/05/2015,whole milk,01/08/2024
3268,06/11/2015,canned beer,06/02/2025
3677,30/04/2015,citrus fruit,30/07/2024
3495,27/06/2015,liquor (appetizer),27/09/2024
1410,04/10/2015,citrus fruit,04/01/2025
2440,06/06/2015,sausage,06/09/2024
4088,13/01/2015,chicken,13/04/2024
2469,23/09/2015,hamburger meat,23/12/2024
4229,06/03/2015,sausage,06/06/2024
2728,02/08/2015,beef,02/11/2024
4694,25/01/2015,citrus fruit,25/04/2024
2836,29/12/2015,UHT-milk,29/03/2025
1311,12/02/2015,candy,12/05/2024
1760,23/01/2015,newspapers,23/04/2024
3656,02/03/2015,beef,02/06/2024
3720,28/05/2015,sausage,28/08/2024
2996,26/09/2015,frankfurter,26/12/2024
1949,22/07/2015,canned beer,22/10/2024
4498,11/02/2015,bottled beer,11/05/2024
2447,28/12/2015,onions,28/03/2025
1952,23/03/2015,tropical fruit,23/06/2024
4099,27/01/2015,bottled water,27/04/2024
1804,12/03/2015,beef,12/06/2024
1510,16/05/2015,sausage,16/08/2024
2879,18/04/2015,hair spray,18/07/2024
4899,12/03/2015,chicken,12/06/2024
4326,29/09/2015,pork,29/12/2024
1670,17/05/2015,ice cream,17/08/2024
1117,24/05/2015,meat,24/08/2024
1346,03/04/2015,other vegetables,03/07/2024
1178,15/11/2015,bottled water,15/02/2025
1649,25/06/2015,tropical fruit,25/09/2024
4651,21/06/2015,photo/film,21/09/2024
4243,02/04/2015,sausage,02/07/2024
4429,21/07/2015,grapes,21/10/2024
4645,25/07/2015,domestic eggs,25/10/2024
4019,24/07/2015,rolls/buns,24/10/2024
4459,26/04/2015,tropical fruit,26/07/2024
3006,27/12/2015,chicken,27/03/2025
1834,17/09/2015,frankfurter,17/12/2024
3236,04/07/2015,berries,04/10/2024
1765,11/03/2015,margarine,11/06/2024
3855,09/03/2015,tropical fruit,09/06/2024
4392,28/11/2015,ham,28/02/2025
3330,26/07/2015,hamburger meat,26/10/2024
1723,02/09/2015,yogurt,02/12/2024
4110,30/03/2015,soda,30/06/2024
2600,28/01/2015,yogurt,28/04/2024
2946,07/10/2015,soda,07/01/2025
2426,08/09/2015,bottled water,08/12/2024
4170,03/05/2015,sausage,03/08/2024
1109,06/04/2015,citrus fruit,06/07/2024
3429,04/01/2015,shopping bags,04/04/2024
2055,04/02/2015,newspapers,04/05/2024
2480,20/09/2015,frankfurter,20/12/2024
2441,30/05/2015,sausage,30/08/2024
1054,04/10/2015,frankfurter,04/01/2025
4818,11/01/2015,salt,11/04/2024
3379,21/01/2015,oil,21/04/2024
3939,10/02/2015,curd,10/05/2024
1367,05/08/2015,other vegetables,05/11/2024
1043,10/01/2015,citrus fruit,10/04/2024
2231,17/10/2015,frankfurter,17/01/2025
3235,28/12/2015,root vegetables,28/03/2025
4554,16/07/2015,tropical fruit,16/10/2024
3245,24/01/2015,beef,24/04/2024
2996,19/05/2015,berries,19/08/2024
2507,05/01/2015,canned beer,05/04/2024
4186,25/10/2015,whipped/sour cream,25/01/2025
3929,28/04/2015,root vegetables,28/07/2024
3760,22/11/2015,whole milk,22/02/2025
4928,18/08/2015,beef,18/11/2024
4217,18/12/2015,frozen vegetables,18/03/2025
1174,11/02/2015,rolls/buns,11/05/2024
4103,19/06/2015,whole milk,19/09/2024
4408,13/03/2015,whole milk,13/06/2024
2588,28/12/2015,citrus fruit,28/03/2025
2598,11/11/2015,pastry,11/02/2025
1518,11/12/2015,frankfurter,11/03/2025
2702,08/04/2015,tropical fruit,08/07/2024
1001,20/01/2015,frankfurter,20/04/2024
2270,30/09/2015,berries,30/12/2024
2838,10/11/2015,rolls/buns,10/02/2025
1683,26/05/2015,root vegetables,26/08/2024
4040,03/04/2015,yogurt,03/07/2024
3897,23/08/2015,other vegetables,23/11/2024
2200,11/03/2015,berries,11/06/2024
4073,29/01/2015,berries,29/04/2024
3700,19/04/2015,other vegetables,19/07/2024
3973,10/06/2015,rolls/buns,10/09/2024
2715,06/07/2015,ham,06/10/2024
3967,23/11/2015,whole milk,23/02/2025
4002,03/09/2015,tropical fruit,03/12/2024
2962,01/03/2015,bottled water,01/06/2024
4340,25/12/2015,butter milk,25/03/2025
2092,06/11/2015,newspapers,06/02/2025
3143,24/05/2015,coffee,24/08/2024
2209,03/10/2015,bottled beer,03/01/2025
2816,22/08/2015,onions,22/11/2024
2659,01/06/2015,hamburger meat,01/09/2024
1588,13/10/2015,sausage,13/01/2025
1144,15/10/2015,hard cheese,15/01/2025
2166,10/12/2015,sausage,10/03/2025
3300,06/10/2015,hamburger meat,06/01/2025
3944,03/01/2015,onions,03/04/2024
4979,24/04/2015,coffee,24/07/2024
2630,21/01/2015,shopping bags,21/04/2024
4240,29/04/2015,yogurt,29/07/2024
2357,08/07/2015,soda,08/10/2024
1743,18/04/2015,sliced cheese,18/07/2024
2331,15/02/2015,sausage,15/05/2024
1643,28/04/2015,yogurt,28/07/2024
1291,20/03/2015,domestic eggs,20/06/2024
3675,04/07/2015,whole milk,04/10/2024
4134,06/11/2015,meat,06/02/2025
1363,21/06/2015,dish cleaner,21/09/2024
4212,01/05/2015,other vegetables,01/08/2024
1500,21/03/2015,whole milk,21/06/2024
2622,01/10/2015,other vegetables,01/01/2025
3543,18/03/2015,tropical fruit,18/06/2024
2525,24/05/2015,baking powder,24/08/2024
1264,12/10/2015,specialty bar,12/01/2025
3601,06/07/2015,ice cream,06/10/2024
1771,23/03/2015,frankfurter,23/06/2024
4694,06/02/2015,canned beer,06/05/2024
1122,21/12/2015,bottled water,21/03/2025
3507,12/08/2015,other vegetables,12/11/2024
4524,26/04/2015,citrus fruit,26/07/2024
3612,27/09/2015,sausage,27/12/2024
3262,11/06/2015,domestic eggs,11/09/2024
1897,25/01/2015,pork,25/04/2024
1656,30/10/2015,specialty cheese,30/01/2025
3953,10/01/2015,pork,10/04/2024
1488,21/06/2015,beef,21/09/2024
1652,17/03/2015,other vegetables,17/06/2024
4953,16/09/2015,chicken,16/12/2024
3445,30/04/2015,soda,30/07/2024
3180,15/03/2015,whole milk,15/06/2024
4934,06/09/2015,rolls/buns,06/12/2024
2980,27/04/2015,bottled beer,27/07/2024
2763,13/02/2015,root vegetables,13/05/2024
4819,04/03/2015,pastry,04/06/2024
3169,02/07/2015,berries,02/10/2024
1850,11/03/2015,citrus fruit,11/06/2024
4285,29/12/2015,whole milk,29/03/2025
4366,13/08/2015,soda,13/11/2024
2253,16/06/2015,bottled water,16/09/2024
3398,11/03/2015,tropical fruit,11/06/2024
2215,22/07/2015,salty snack,22/10/2024
3737,03/03/2015,bottled water,03/06/2024
2649,28/11/2015,chocolate,28/02/2025
3203,07/08/2015,citrus fruit,07/11/2024
4261,16/02/2015,bottled water,16/05/2024
2435,17/07/2015,onions,17/10/2024
2046,21/08/2015,dessert,21/11/2024
4267,11/02/2015,beef,11/05/2024
1086,28/12/2015,rolls/buns,28/03/2025
1992,04/01/2015,beef,04/04/2024
3622,26/07/2015,soda,26/10/2024
4700,27/06/2015,coffee,27/09/2024
2272,16/05/2015,rolls/buns,16/08/2024
1663,19/05/2015,pork,19/08/2024
2519,03/06/2015,soda,03/09/2024
2639,30/10/2015,sausage,30/01/2025
1466,19/04/2015,beef,19/07/2024
4122,23/10/2015,whole milk,23/01/2025
3598,15/04/2015,pork,15/07/2024
3097,10/08/2015,berries,10/11/2024
1873,19/09/2015,sausage,19/12/2024
1537,01/02/2015,bottled water,01/05/2024
3960,25/03/2015,tropical fruit,25/06/2024
1136,15/06/2015,herbs,15/09/2024
2453,21/12/2015,yogurt,21/03/2025
1746,15/02/2015,Instant food products,15/05/2024
3572,09/06/2015,specialty chocolate,09/09/2024
3246,24/06/2015,coffee,24/09/2024
3207,26/11/2015,bottled beer,26/02/2025
1042,12/02/2015,beef,12/05/2024
1176,30/03/2015,whole milk,30/06/2024
3054,23/02/2015,frankfurter,23/05/2024
4486,02/12/2015,frankfurter,02/03/2025
1580,05/12/2015,other vegetables,05/03/2025
1623,02/11/2015,frankfurter,02/02/2025
4169,24/11/2015,whole milk,24/02/2025
2254,24/01/2015,frankfurter,24/04/2024
4095,01/11/2015,other vegetables,01/02/2025
1264,17/11/2015,bottled water,17/02/2025
3375,06/01/2015,pork,06/04/2024
3242,23/05/2015,bottled water,23/08/2024
2227,07/06/2015,other vegetables,07/09/2024
3847,03/12/2015,hamburger meat,03/03/2025
3897,31/05/2015,hamburger meat,31/08/2024
1799,27/09/2015,shopping bags,27/12/2024
2920,26/04/2015,whole milk,26/07/2024
3713,31/01/2015,ice cream,01/05/2024
4230,05/11/2015,pastry,05/02/2025
1455,18/03/2015,ham,18/06/2024
3687,18/03/2015,frankfurter,18/06/2024
3869,01/08/2015,sausage,01/11/2024
2988,14/10/2015,bottled beer,14/01/2025
4242,30/03/2015,bottled water,30/06/2024
4118,24/12/2015,meat,24/03/2025
4996,24/10/2015,dessert,24/01/2025
4489,04/03/2015,other vegetables,04/06/2024
1199,09/11/2015,beverages,09/02/2025
4108,12/05/2015,ham,12/08/2024
3484,05/06/2015,specialty bar,05/09/2024
1239,31/08/2015,brown bread,01/12/2024
4839,19/12/2015,whole milk,19/03/2025
4748,07/05/2015,rolls/buns,07/08/2024
4426,06/06/2015,bottled beer,06/09/2024
3571,11/12/2015,pet care,11/03/2025
2852,08/06/2015,citrus fruit,08/09/2024
3638,26/05/2015,pork,26/08/2024
3635,10/03/2015,other vegetables,10/06/2024
2723,07/05/2015,white wine,07/08/2024
3495,11/03/2015,whole milk,11/06/2024
2813,16/11/2015,pip fruit,16/02/2025
2799,02/09/2015,sugar,02/12/2024
4723,22/05/2015,tropical fruit,22/08/2024
3313,08/04/2015,root vegetables,08/07/2024
4748,15/12/2015,soda,15/03/2025
2991,16/02/2015,whole milk,16/05/2024
1483,01/04/2015,tropical fruit,01/07/2024
3950,01/10/2015,white bread,01/01/2025
1634,16/01/2015,brown bread,16/04/2024
2694,21/11/2015,tropical fruit,21/02/2025
2707,18/10/2015,domestic eggs,18/01/2025
2813,16/07/2015,coffee,16/10/2024
2276,11/01/2015,soda,11/04/2024
4726,06/02/2015,whole milk,06/05/2024
4353,25/05/2015,bottled beer,25/08/2024
4017,13/08/2015,pork,13/11/2024
1422,21/08/2015,other vegetables,21/11/2024
2714,15/03/2015,yogurt,15/06/2024
2769,21/07/2015,sparkling wine,21/10/2024
4166,30/04/2015,bottled water,30/07/2024
3614,02/03/2015,citrus fruit,02/06/2024
4361,05/09/2015,hamburger meat,05/12/2024
1922,22/09/2015,packaged fruit/vegetables,22/12/2024
4728,06/09/2015,other vegetables,06/12/2024
3646,08/08/2015,soda,08/11/2024
1155,10/08/2015,whole milk,10/11/2024
2119,11/06/2015,herbs,11/09/2024
1602,29/08/2015,citrus fruit,29/11/2024
1074,24/06/2015,misc. beverages,24/09/2024
2256,11/04/2015,female sanitary products,11/07/2024
1348,17/09/2015,soda,17/12/2024
3806,28/08/2015,tropical fruit,28/11/2024
1711,06/06/2015,soda,06/09/2024
3959,12/04/2015,white bread,12/07/2024
1590,15/08/2015,coffee,15/11/2024
1962,08/06/2015,tropical fruit,08/09/2024
1766,21/01/2015,pork,21/04/2024
2551,21/10/2015,citrus fruit,21/01/2025
2294,23/09/2015,frankfurter,23/12/2024
4531,29/05/2015,frankfurter,29/08/2024
2957,12/04/2015,frankfurter,12/07/2024
4415,27/01/2015,other vegetables,27/04/2024
1476,26/08/2015,yogurt,26/11/2024
3978,23/07/2015,sausage,23/10/2024
2062,22/09/2015,whole milk,22/12/2024
3252,28/06/2015,pip fruit,28/09/2024
3922,24/06/2015,whole milk,24/09/2024
1491,17/10/2015,root vegetables,17/01/2025
3526,26/08/2015,onions,26/11/2024
4060,11/12/2015,specialty chocolate,11/03/2025
1067,08/04/2015,hamburger meat,08/07/2024
2840,27/01/2015,photo/film,27/04/2024
4484,27/11/2015,rolls/buns,27/02/2025
2353,07/02/2015,canned beer,07/05/2024
3130,18/02/2015,canned beer,18/05/2024
4273,14/06/2015,other vegetables,14/09/2024
4565,30/12/2015,canned beer,30/03/2025
2504,14/08/2015,curd,14/11/2024
4127,23/10/2015,butter,23/01/2025
2690,01/04/2015,other vegetables,01/07/2024
4129,22/09/2015,whole milk,22/12/2024
4511,29/06/2015,beef,29/09/2024
1602,04/08/2015,sausage,04/11/2024
4369,01/02/2015,soda,01/05/2024
1302,29/09/2015,fruit/vegetable juice,29/12/2024
3326,30/04/2015,rolls/buns,30/07/2024
2066,21/05/2015,pip fruit,21/08/2024
3483,15/01/2015,frozen vegetables,15/04/2024
2840,12/02/2015,beverages,12/05/2024
1807,18/05/2015,hamburger meat,18/08/2024
2067,12/08/2015,root vegetables,12/11/2024
3783,17/02/2015,canned beer,17/05/2024
2884,04/01/2015,frozen vegetables,04/04/2024
2908,15/03/2015,canned beer,15/06/2024
1330,10/07/2015,newspapers,10/10/2024
2293,08/05/2015,rolls/buns,08/08/2024
3718,20/05/2015,hamburger meat,20/08/2024
4338,25/01/2015,pip fruit,25/04/2024
3486,08/11/2015,canned beer,08/02/2025
3635,04/09/2015,grapes,04/12/2024
2857,18/02/2015,root vegetables,18/05/2024
3684,13/08/2015,citrus fruit,13/11/2024
3120,20/10/2015,cling film/bags,20/01/2025
3872,19/03/2015,frankfurter,19/06/2024
2777,07/04/2015,whole milk,07/07/2024
2702,27/05/2015,pork,27/08/2024
4796,29/06/2015,chicken,29/09/2024
1564,23/10/2015,sausage,23/01/2025
2740,02/07/2015,specialty bar,02/10/2024
1833,13/04/2015,whipped/sour cream,13/07/2024
1757,23/12/2015,root vegetables,23/03/2025
2975,24/10/2015,rolls/buns,24/01/2025
4032,10/08/2015,other vegetables,10/11/2024
3979,16/09/2015,citrus fruit,16/12/2024
3772,09/03/2015,whole milk,09/06/2024
4523,28/10/2015,frankfurter,28/01/2025
4004,19/04/2015,coffee,19/07/2024
2936,08/06/2015,ham,08/09/2024
2394,21/06/2015,canned beer,21/09/2024
4616,16/08/2015,canned beer,16/11/2024
2362,08/07/2015,canned beer,08/10/2024
3593,03/11/2015,pip fruit,03/02/2025
4389,27/08/2015,pork,27/11/2024
3206,11/08/2015,soap,11/11/2024
4601,04/01/2015,pip fruit,04/04/2024
4382,13/11/2015,beef,13/02/2025
2718,08/06/2015,sausage,08/09/2024
4691,12/10/2015,frozen chicken,12/01/2025
3735,28/11/2015,soda,28/02/2025
3900,20/12/2015,tropical fruit,20/03/2025
4959,30/06/2015,other vegetables,30/09/2024
1815,30/08/2015,beef,30/11/2024
2454,08/04/2015,meat,08/07/2024
4778,15/01/2015,meat,15/04/2024
2289,04/11/2015,bottled water,04/02/2025
1734,13/07/2015,rolls/buns,13/10/2024
4019,05/02/2015,pastry,05/05/2024
4605,28/05/2015,pork,28/08/2024
4864,14/11/2015,pip fruit,14/02/2025
4205,22/02/2015,beef,22/05/2024
1862,03/08/2015,beef,03/11/2024
1846,19/07/2015,rolls/buns,19/10/2024
2019,28/05/2015,citrus fruit,28/08/2024
2042,19/11/2015,meat,19/02/2025
1768,26/05/2015,beverages,26/08/2024
3847,26/03/2015,beef,26/06/2024
